id,nome,preco_original,preco_atual,preco_pix,desconto_pct,avaliacao,num_avaliacoes,disponivel,fabricante,categoria,garantia,frete_gratis,url
532576,"Memória Dale7, 4GB, 1333Mhz, DDR3, Notebook, 1.5v",0.0,154.89,154.89,0,0,0,True,Outros,Hardware/Memória RAM/DDR 3,Sem Garantia,False,https://www.kabum.com.br/produto/532576/memoria-dale7-4gb-1333mhz-ddr3-notebook-1-5v
349654,"Memória Kingston Fury Beast, 16GB, 5600MHz, DDR5, CL40, Preto - KF556C40BB-16",0.0,1699.0,1699.0,0,0,0,True,Kingston,Hardware/Memória RAM/DDR 5,Sem Garantia,False,https://www.kabum.com.br/produto/349654/memoria-kingston-fury-beast-16gb-5600mhz-ddr5-cl40-preto-kf556c40bb-16
472099,"Memória Keepdata, 8GB, 2400MHz, DDR4, Para Desktop - Kd24n17/8g",0.0,784.0,784.0,0,0,0,True,KEEPDATA,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/472099/memoria-keepdata-8gb-2400mhz-ddr4-para-desktop-kd24n17-8g
503019,"Memória RAM Kingston Fury Renegade RGB, 96GB (2x48GB), 6000MHz, DDR5, CL32, XMP, Prata  - KF560C32RSAK2-96",12941.16,12941.16,10999.99,15,5,1,True,Kingston,Hardware/Memória RAM/DDR 5,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/503019/memoria-ram-kingston-fury-renegade-rgb-96gb-2x48gb-6000mhz-ddr5-cl32-xmp-prata-kf560c32rsak2-96
355886,"Memória Kingston Fury Beast Black, 32GB, 3200MHz, DDR4 - KF432C16BB/32",0.0,2048.0,2048.0,0,5,1,True,Kingston,Hardware/Memória RAM/DDR 4/3200MHz,Sem Garantia,False,https://www.kabum.com.br/produto/355886/memoria-kingston-fury-beast-black-32gb-3200mhz-ddr4-kf432c16bb-32
724690,"Memória Gamer Rise Mode 16GB, DDR4, 3200MHz, CL16, Viper White - RM-D4-16G-3200VP-W",0.0,1285.87,1092.99,15,5,3,True,Rise Mode,Hardware/Memória RAM/DDR 4,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/724690/memoria-gamer-rise-mode-16gb-ddr4-3200mhz-cl16-viper-white-rm-d4-16g-3200vp-w
312878,"Memória Kingston Fury Beast, 16GB, 5200MHz, DDR5, CL40, Preto - KF552C40BB-16",0.0,2353.43,2353.43,0,0,0,True,Kingston,Hardware/Memória RAM/DDR 5,Sem Garantia,False,https://www.kabum.com.br/produto/312878/memoria-kingston-fury-beast-16gb-5200mhz-ddr5-cl40-preto-kf552c40bb-16
528846,"Memória Para Notebook Adata XPG, 16GB, 5600MHz, DDR5, CL46 - AD5S560016G-S",2117.64,2117.64,1799.99,15,5,50,True,Adata,Hardware/Memória RAM/DDR 5,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/528846/memoria-para-notebook-adata-xpg-16gb-5600mhz-ddr5-cl46-ad5s560016g-s
475278,"Memória RAM Rise Mode Z, 32GB, 3200MHz, DDR4, CL19, Branco - RM-D4-32G-3200ZW",0.0,2808.22,2386.99,15,5,36,True,Rise Mode,Hardware/Memória RAM/DDR 4/3200MHz,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/475278/memoria-ram-rise-mode-z-32gb-3200mhz-ddr4-cl19-branco-rm-d4-32g-3200zw
644889,Memoria   8GB Kingston Ddr4 3200mhz Kvr32n22s8/8,0.0,500.79,465.73,7,5,1,True,Kingston,Hardware/Memória RAM/DDR 4/3200MHz,Sem Garantia,False,https://www.kabum.com.br/produto/644889/memoria-8gb-kingston-ddr4-3200mhz-kvr32n22s8-8
232159,"Memória RAM para Notebook Kingston, 8GB, 2666MHz, DDR4 - KVR26S19S8/8",0.0,500.79,465.73,7,5,1,True,Kingston,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/232159/memoria-ram-para-notebook-kingston-8gb-2666mhz-ddr4-kvr26s19s8-8
404834,"Memória RAM para Notebook Kingston Fury Impact, 16GB, 4800MHz, DDR5, CL38 - KF548S38IB-16",0.0,1999.99,1699.99,15,4,27,True,Kingston,Hardware/Memória RAM/DDR 5,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/404834/memoria-ram-para-notebook-kingston-fury-impact-16gb-4800mhz-ddr5-cl38-kf548s38ib-16
713591,Memoria Notebook 16gb Ddr5 5600 Cl46 1.1v Kvr56s46bs8-16 Kingston,0.0,1690.0,1690.0,0,0,0,True,Kingston,Hardware/Memória RAM/DDR 5,Sem Garantia,False,https://www.kabum.com.br/produto/713591/memoria-notebook-16gb-ddr5-5600-cl46-1-1v-kvr56s46bs8-16-kingston
