data_coleta,id,nome,preco_original,preco_atual,preco_pix,desconto_pct,avaliacao,num_avaliacoes,disponivel,fabricante,categoria,garantia,frete_gratis,url
2026-04-16,452735,"Memória RAM Kingston Fury Beast, 128GB (4x32GB), 5600MHz, DDR5, CL40,para Intel XMP, Branco - KF556C40BWK4-128",15092.93,15092.93,12828.99,15,2,1,True,Kingston,Hardware/Memória RAM/DDR 5,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/452735/memoria-ram-kingston-fury-beast-128gb-4x32gb-5600mhz-ddr5-cl40-para-intel-xmp-branco-kf556c40bwk4-128
2026-04-16,532594,"Memória Gamer Dale7 No Limits, 8GB, 2133Mhz, DDR4, Desktop, Vermelho",0.0,455.89,455.89,0,0,0,True,Outros,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/532594/memoria-gamer-dale7-no-limits-8gb-2133mhz-ddr4-desktop-vermelho
2026-04-16,624532,"Memória Hiksemi Hiker, 8GB, Ddr4, 3200mhz, 1.2v, Notebook - Hsc408s32z1",0.0,732.44,673.84,8,1,1,True,Hiksemi,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/624532/memoria-hiksemi-hiker-8gb-ddr4-3200mhz-1-2v-notebook-hsc408s32z1
2026-04-16,533336,"Memória Gamer Dale7 No Limits, 4GB, 1600Mhz, DDR3, Desktop, Branco",0.0,129.89,129.89,0,0,0,True,Outros,Hardware/Memória RAM/DDR 3,Sem Garantia,False,https://www.kabum.com.br/produto/533336/memoria-gamer-dale7-no-limits-4gb-1600mhz-ddr3-desktop-branco
2026-04-16,538637,"Memoria Pcyes Udimm, 8GB, DDR3, 1600mhz - Pm081600d3",0.0,209.9,209.9,0,0,0,True,PCYES,Hardware/Memória RAM/DDR 3,Sem Garantia,False,https://www.kabum.com.br/produto/538637/memoria-pcyes-udimm-8gb-ddr3-1600mhz-pm081600d3
2026-04-16,156622,"Memória RAM XPG Spectrix D50, 16GB, 3200MHz, DDR4, RGB, CL16, Cinza - AX4U320016G16A-ST50",0.0,1176.46,999.99,15,5,17,True,XPG,Hardware/Memória RAM/DDR 4,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/156622/memoria-ram-xpg-spectrix-d50-16gb-3200mhz-ddr4-rgb-cl16-cinza-ax4u320016g16a-st50
2026-04-16,951773,Memoria 8GB Ddr4 2666mhz Kingston Notebook,0.0,660.0,660.0,0,0,0,True,Kingston,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/951773/memoria-8gb-ddr4-2666mhz-kingston-notebook
2026-04-16,495642,"Memória Upgamer Up3200, 16GB, 3200MHz, DDR4 - Pc3200",0.0,999.9,999.9,0,0,0,True,Up Gamer,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/495642/memoria-upgamer-up3200-16gb-3200mhz-ddr4-pc3200
2026-04-16,878680,Memória Ram 8GB Ddr4 Ecc System X - X3500 X3550 X3650 - M5,0.0,639.0,639.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 4/2133MHz,Sem Garantia,True,https://www.kabum.com.br/produto/878680/memoria-ram-8gb-ddr4-ecc-system-x-x3500-x3550-x3650-m5
2026-04-16,532765,"Memória Gamer Dale7 No Limit, 8GB, 1866Mhz, DDR3, Desktop, Preto",0.0,277.89,277.89,0,0,0,True,Outros,Hardware/Memória RAM/DDR 3,Sem Garantia,False,https://www.kabum.com.br/produto/532765/memoria-gamer-dale7-no-limit-8gb-1866mhz-ddr3-desktop-preto
